Player,Score,When
Radek,2,2026-03-03T19:06:17.927922
Luc,8,2026-03-03T19:08:36.335308
Radek,2,2026-03-03T19:31:21.361126
Radek,4,2026-03-03T19:37:43.411251+00:00
Radek,3,2026-03-03T19:41:48.259841+00:00
Radek,11,2026-03-03T19:47:03.704978+00:00
